,Title,IMDB Rating,IMDB Rank,Year,Classification,Genre
118,Double Indemnity,8.3,119,1944,,Drama
119,Citizen Kane,8.3,120,1941,Young,Drama
120,M - Eine Stadt sucht einen Mörder,8.3,121,1931,,Mystery
121,Metropolis,8.3,122,1927,,Drama
122,The Kid,8.3,123,1921,,Comedy
123,Green Book,8.2,124,2018,Young,Biography
124,Koe no katachi,8.2,125,2016,,Animation
125,"Three Billboards Outside Ebbing, Missouri",8.2,126,2017,Adult,Comedy
126,Klaus,8.2,127,2019,Young,Animation
127,Drishyam,8.2,128,2015,,Drama
128,Gangs of Wasseypur,8.2,129,2012,,Action
129,El secreto de sus ojos,8.2,130,2009,Adult,Drama
130,Warrior,8.2,131,2011,Young,Action
131,Up,8.2,132,2009,Young,Animation
132,The Wolf of Wall Street,8.2,133,2013,Adult,Biography
133,There Will Be Blood,8.2,134,2007,Adult,Drama
134,Pan's Labyrinth,8.2,135,2006,Adult,Drama
135,V for Vendetta,8.2,136,2005,Young,Action
136,Rang De Basanti,8.2,137,2006,,Comedy
137,Batman Begins,8.2,138,2005,Young,Action
138,"Swades: We, the People",8.2,139,2004,,Drama
139,Der Untergang,8.2,140,2004,Adult,Biography
140,Hauru no ugoku shiro,8.2,141,2004,Young,Animation
141,A Beautiful Mind,8.2,142,2001,Young,Biography
142,"Lock, Stock and Two Smoking Barrels",8.2,143,1998,Adult,Action
143,L.A. Confidential,8.2,144,1997,Adult,Drama
144,Heat,8.2,145,1995,Adult,Drama
145,Casino,8.2,146,1995,Adult,Drama
146,Unforgiven,8.2,147,1992,Young,Drama
147,Indiana Jones and the Last Crusade,8.2,148,1989,Young,Action
148,Tonari no Totoro,8.2,149,1988,,Animation
149,Die Hard,8.2,150,1988,,Action
150,Ran,8.2,151,1985,,Action
151,Raging Bull,8.2,152,1980,Adult,Biography
152,Stalker,8.2,153,1979,,Drama
153,Monty Python and the Holy Grail,8.2,154,1975,,Comedy
154,Chinatown,8.2,155,1974,,Drama
155,The Great Escape,8.2,156,1963,,Drama
156,To Kill a Mockingbird,8.2,157,1962,,Drama
157,Yôjinbô,8.2,158,1961,,Action
158,Judgment at Nuremberg,8.2,159,1961,,Drama
