,Title,Tomatometer,Rotten rank,Year,Critic Rating,Genre,Difference
85,Sunset Boulevard,9.8,86,1950,9.29,Drama,0.5100000000000016
86,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief),9.8,87,1949,9.14,Drama,0.6600000000000001
87,Hell or High Water,9.7,88,2016,8.48,Drama,1.2199999999999989
88,Touch of Evil,9.6,89,1958,8.88,Drama,0.7199999999999989
89,Up,9.8,90,2009,8.71,Action,1.0899999999999999
90,Pinocchio,10.0,91,1940,9.1,Animation,0.9000000000000004
91,Jaws,9.8,92,1975,9.2,Action,0.6000000000000014
92,Toy Story 2,10.0,93,1999,8.68,Animation,1.3200000000000003
93,Captain America: Civil War,9.1,94,2016,7.72,Action,1.38
94,A Streetcar Named Desire,9.8,95,1951,8.64,Drama,1.1600000000000001
95,Won't You Be My Neighbor?,9.7,96,2018,8.72,Documentary,0.9799999999999986
96,Chinatown,9.9,97,1974,9.34,Drama,0.5600000000000005
97,Lawrence of Arabia,9.8,98,1962,9.27,Action,0.5300000000000011
98,I Am Not Your Negro,9.9,99,2017,8.89,Documentary,1.0099999999999998
99,Rear Window,9.9,100,1954,9.16,Drama,0.7400000000000002
